name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"mu[586]",5.7,0.015,0.93,4.1,5.7,7.2,4138,1920,1.00
"mu[587]",-12,0.027,1.7,-15,-12,-9.5,3957,1836,1.00
"mu[588]",8.8,0.017,1.1,7.0,8.8,11,4051,1879,1.00
"mu[589]",-3.8,0.017,1.1,-5.6,-3.8,-2.0,4086,1895,1.0
"mu[590]",1.7,0.014,0.90,0.21,1.7,3.1,4191,1944,1.0
"mu[591]",-2.4,0.016,1.0,-4.1,-2.4,-0.74,4155,1927,1.0
"mu[592]",4.5,0.014,0.91,3.0,4.5,6.0,4161,1930,1.00
"mu[593]",-7.8,0.021,1.3,-9.9,-7.8,-5.5,4030,1869,1.00
"mu[594]",-0.92,0.015,0.95,-2.5,-0.91,0.65,4180,1939,1.0
"mu[595]",-12,0.026,1.6,-15,-12,-9.1,3963,1838,1.00
"mu[596]",1.4,0.014,0.90,-0.053,1.4,2.9,4191,1944,1.0
"mu[597]",2.7,0.014,0.89,1.2,2.7,4.2,4185,1941,1.0
"mu[598]",13,0.021,1.3,11,13,15,3947,1831,1.00
"mu[599]",-11,0.025,1.6,-14,-11,-8.3,3976,1844,1.00
"mu[600]",11,0.019,1.2,8.8,11,13,3994,1852,1.00
"mu[601]",1.2,0.014,0.90,-0.27,1.2,2.7,4192,1944,1.0
"mu[602]",9.5,0.017,1.1,7.7,9.5,11,4029,1869,1.00
"mu[603]",3.1,0.014,0.89,1.7,3.1,4.6,4180,1939,1.0
"mu[604]",12,0.020,1.3,9.9,12,14,3963,1838,1.00
"mu[605]",9.0,0.017,1.1,7.3,9.0,11,4042,1875,1.00
"mu[606]",14,0.023,1.4,12,14,17,3917,1817,1.00
"mu[607]",-2.0,0.015,1.00,-3.7,-2.0,-0.40,4162,1930,1.0
"mu[608]",19,0.029,1.8,16,19,22,3866,1793,1.00
"mu[609]",-9.1,0.023,1.4,-11,-9.1,-6.7,4005,1857,1.00
"mu[610]",9.8,0.018,1.1,8.0,9.8,12,4018,1864,1.00
"mu[611]",8.9,0.017,1.1,7.1,8.9,11,4047,1877,1.00
"mu[612]",-2.6,0.016,1.0,-4.3,-2.6,-0.92,4151,1925,1.0
"mu[613]",3.8,0.014,0.90,2.3,3.8,5.3,4172,1935,1.0
"mu[614]",-5.3,0.018,1.2,-7.2,-5.3,-3.4,4088,1896,1.00
"mu[615]",11,0.018,1.2,8.6,11,12,3999,1855,1.00
"mu[616]",3.6,0.014,0.89,2.2,3.6,5.1,4174,1936,1.0
"mu[617]",5.3,0.014,0.92,3.8,5.3,6.8,4146,1923,1.00
"mu[618]",0.64,0.014,0.91,-0.84,0.65,2.2,4191,1944,1.0
"mu[619]",27,0.041,2.5,23,27,32,3820,1772,1.00
"mu[620]",6.9,0.015,0.98,5.3,6.9,8.5,4107,1905,1.00
"mu[621]",1.5,0.014,0.90,-0.0012,1.5,2.9,4191,1944,1.0
"mu[622]",3.7,0.014,0.89,2.2,3.7,5.1,4174,1936,1.0
"mu[623]",5.3,0.014,0.92,3.8,5.3,6.8,4146,1923,1.00
"mu[624]",-13,0.027,1.7,-15,-13,-9.7,3955,1834,1.00
"mu[625]",3.4,0.014,0.89,1.9,3.4,4.9,4177,1938,1.0
"mu[626]",-4.4,0.017,1.1,-6.2,-4.4,-2.6,4111,1907,1.0
"mu[627]",-11,0.025,1.6,-14,-11,-8.3,3975,1844,1.00
"mu[628]",-14,0.029,1.8,-17,-14,-11,3933,1824,1.00
"mu[629]",-11,0.025,1.6,-14,-11,-8.3,3975,1844,1.00
"mu[630]",14,0.022,1.4,12,14,16,3923,1819,1.00
"mu[631]",0.87,0.014,0.91,-0.61,0.87,2.4,4191,1944,1.0
"mu[632]",11,0.019,1.2,9.1,11,13,3985,1848,1.00
"mu[633]",-14,0.029,1.8,-17,-14,-11,3933,1824,1.00
"mu[634]",-2.6,0.016,1.0,-4.2,-2.6,-0.88,4152,1926,1.0
